,n_exps,n_regions,r_geq_1,r_geq_2,r_geq_3,r_geq_4,r_geq_5,area_volume,min_region_vol,max_region_vol,mean_region_vol,var_region_vol,min_min_d,max_min_d,mean_min_d,var_min_d,min_inj_vol,max_inj_vol,mean_inj_vol,var_inj_vol
Isocortex,126,43,40,37,29,21,16,61.878,0.249,6.5440000000000005,1.4390232558139533,1.9435821661129564,0.014043483050899919,1.3048795195156666,0.5050957215055984,0.03911371956227968,0.004133672,1.0357745,0.23418926,0.054810114
OLF,21,11,10,7,6,4,1,23.275000000000002,0.158,8.188,1.8912727272727272,7.05351221818182,0.018158520584707384,1.917394237948007,0.7078395060369658,0.09919395969070094,0.004032762,0.23203486,0.12040506,0.0046519097
HPF,43,12,10,9,8,8,7,21.349,0.028,5.133,1.6800833333333334,2.892170992424243,0.022185265190894338,2.4779178477875003,0.5077540689861364,0.05737910935343511,0.0030635044,0.47189984,0.11838922,0.013954804
CTXsp,8,7,4,2,1,1,1,4.428,0.274,0.9380000000000001,0.6062857142857142,0.06482990476190477,0.03330212137837324,3.401616940800088,0.8759463382217249,0.41277626657890065,0.014490474,0.3293959,0.14883551,0.011700867
STR,26,14,9,7,5,4,3,22.606,0.013000000000000001,13.009,1.5152857142857143,11.417838989010988,0.012213249618349575,1.962895932432456,0.6742760258086103,0.12274760751951594,0.0070401854,0.47593585,0.16222781,0.019360026
PAL,10,9,6,2,2,1,0,4.748,0.004,1.5110000000000001,0.4664444444444444,0.21374027777777777,0.04006858017957903,2.4163140053228807,0.6140825343451315,0.1235931235826334,0.04246201,0.33309603,0.120047286,0.0068762125
TH,43,40,31,25,17,13,5,10.298,0.014,0.8140000000000001,0.235775,0.04749428141025641,0.005702896678422621,1.0999945479862818,0.39591849976885063,0.02950425378735189,0.0043825065,0.71048135,0.109430544,0.017363045
HY,34,41,22,14,12,7,5,7.641,0.001,1.055,0.14729268292682926,0.04719586219512195,0.007577130077876882,2.509709181643115,0.4111702430497414,0.0385528354409311,0.005931942,1.1694455,0.33402693,0.079652175
MB,43,33,23,12,7,5,3,18.658,0.003,2.873,0.45799999999999996,0.670894,0.004102697953582918,1.444267093590565,0.4555878169311706,0.03532552188259114,0.012437781,0.6748253,0.21155702,0.024380239
P,16,21,12,7,3,1,1,8.506,0.007,1.183,0.3019047619047619,0.1206798904761905,0.02010934144250355,1.7288475253523607,0.599528253705079,0.09436757143552503,0.024223592,0.29748306,0.14546841,0.007375604
MY,39,43,26,18,11,8,5,15.739,0.002,1.387,0.3009302325581395,0.13489282834994465,0.018752511824909116,1.776250675942597,0.4933799492301838,0.052164754560851255,0.0023558037,1.0602332,0.23361756,0.0725143
CB,19,17,15,7,5,2,0,27.22,0.07100000000000001,5.388,1.574764705882353,2.10108694117647,0.006593775881873435,2.9005133512957615,0.763434607423981,0.11422640594724587,0.004551101,0.2330752,0.077556446,0.0043971147
